study	unique_study_id	file	chr	bp	min_p	cis_trans	ld_block	known_gene
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_1_93129749_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_1_93129749_1.tsv.gz	1	93129749	2.9998531811907924e-28	NA	EUR/1/93071870-95684841	NA
qtl-subset-ukb-ppp-european-ITGB7:P26010:OID21393:v1	qtl-subset-ukb-ppp-european-ITGB7:P26010:OID21393:v1_EUR_1_110786444_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/qtl-subset-ukb-ppp-european-ITGB7:P26010:OID21393:v1/finemapped/EUR_1_110787385_1.tsv.gz	1	110786444	1.2133899999999997e-11	trans	EUR/1/110131515-111945212	ITGB7
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_1_150623061_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_1_150623061_1.tsv.gz	1	150611627	2.5893316813994133e-59	NA	EUR/1/148441356-151566310	NA
qtl-subset-ukb-ppp-european-ITGB2:P05107:OID20315:v1	qtl-subset-ukb-ppp-european-ITGB2:P05107:OID20315:v1_EUR_1_161683947_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/qtl-subset-ukb-ppp-european-ITGB2:P05107:OID20315:v1/finemapped/EUR_1_161704318_1.tsv.gz	1	161683947	3.50348e-11	trans	EUR/1/158933969-163173938	ITGB2
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_1_173262759_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_1_173262759_1.tsv.gz	1	172819605	4.599031488938708e-23	NA	EUR/1/171908371-175755086	NA
ebi-a-GCST90018949	ebi-a-GCST90018949_EUR_1_177920345_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90018949/finemapped/EUR_1_177920345_1.tsv.gz	1	177920345	2.1301000374112608e-91	NA	EUR/1/177781354-178974441	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_1_198697103_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_1_198697103_1.tsv.gz	1	198697103	6.947285142286998e-47	NA	EUR/1/197971083-201556198	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_1_198697103_2	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_1_198697103_2.tsv.gz	1	199022914	2.4704446204624004e-40	NA	EUR/1/197971083-201556198	NA
ebi-a-GCST90018949	ebi-a-GCST90018949_EUR_1_201836978_2	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90018949/finemapped/EUR_1_201836978_2.tsv.gz	1	201828407	2.7462091141795e-28	NA	EUR/1/201556198-203083201	NA
ebi-a-GCST90018949	ebi-a-GCST90018949_EUR_2_630555_2	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90018949/finemapped/EUR_2_630555_2.tsv.gz	2	417167	4.1648514189507845e-75	NA	EUR/2/10560-1415211	NA
ebi-a-GCST90018949	ebi-a-GCST90018949_EUR_2_630555_4	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90018949/finemapped/EUR_2_630555_4.tsv.gz	2	621185	2.1348160080563107e-115	NA	EUR/2/10560-1415211	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_2_8301605_2	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_2_8301605_2.tsv.gz	2	8298563	9.111261449411213e-35	NA	EUR/2/6803612-9659787	NA
ebi-a-GCST90018949	ebi-a-GCST90018949_EUR_2_27508073_3	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90018949/finemapped/EUR_2_27508073_3.tsv.gz	2	27532245	3.530075883044327e-31	NA	EUR/2/25925747-28587786	NA
ebi-a-GCST90018949	ebi-a-GCST90018949_EUR_2_36550682_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90018949/finemapped/EUR_2_36550682_1.tsv.gz	2	36550682	1.0560877376240399e-20	NA	EUR/2/35451996-37905569	NA
ebi-a-GCST90018949	ebi-a-GCST90018949_EUR_2_55869757_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90018949/finemapped/EUR_2_55869757_1.tsv.gz	2	55869757	1.486962444868948e-22	NA	EUR/2/54103980-56169298	NA
qtl-subset-ukb-ppp-european-ITGB7:P26010:OID21393:v1	qtl-subset-ukb-ppp-european-ITGB7:P26010:OID21393:v1_EUR_2_62332070_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/qtl-subset-ukb-ppp-european-ITGB7:P26010:OID21393:v1/finemapped/EUR_2_62332070_1.tsv.gz	2	62332070	8.980430000000003e-26	trans	EUR/2/60785914-63407494	ITGB7
qtl-subset-ukb-ppp-european-ITGB2:P05107:OID20315:v1	qtl-subset-ukb-ppp-european-ITGB2:P05107:OID20315:v1_EUR_2_68342184_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/qtl-subset-ukb-ppp-european-ITGB2:P05107:OID20315:v1/finemapped/EUR_2_68348488_1.tsv.gz	2	68342184	1.0702100000000002e-10	trans	EUR/2/67755902-69124831	ITGB2
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_2_96535945_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_2_96535945_1.tsv.gz	2	96535945	2.5008655906035653e-106	NA	EUR/2/87936212-98380522	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_2_102354740_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_2_102354740_1.tsv.gz	2	102354740	2.098939883623536e-292	NA	EUR/2/100756218-103085716	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_2_111119036_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_2_111119036_1.tsv.gz	2	111119036	1.587519488778906e-67	NA	EUR/2/110038675-113164062	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_2_111119036_4	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_2_111119036_4.tsv.gz	2	111630652	1.0790519540801145e-27	NA	EUR/2/110038675-113164062	NA
qtl-subset-ukb-ppp-european-ITGB7:P26010:OID21393:v1	qtl-subset-ukb-ppp-european-ITGB7:P26010:OID21393:v1_EUR_2_134325432_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/qtl-subset-ukb-ppp-european-ITGB7:P26010:OID21393:v1/finemapped/EUR_2_134325432_1.tsv.gz	2	134314758	4.030253685356206e-73	trans	EUR/2/133970096-137318870	ITGB7
qtl-subset-ukb-ppp-european-ITGB7:P26010:OID21393:v1	qtl-subset-ukb-ppp-european-ITGB7:P26010:OID21393:v1_EUR_2_134325432_2	/local-scratch/projects/genotype-phenotype-map/test/data/study/qtl-subset-ukb-ppp-european-ITGB7:P26010:OID21393:v1/finemapped/EUR_2_134325432_2.tsv.gz	2	134247706	8.032553890170369e-19	trans	EUR/2/133970096-137318870	ITGB7
qtl-subset-ukb-ppp-european-ITGB6:P18564:OID20493:v1	qtl-subset-ukb-ppp-european-ITGB6:P18564:OID20493:v1_EUR_2_159581055_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/qtl-subset-ukb-ppp-european-ITGB6:P18564:OID20493:v1/finemapped/EUR_2_159581055_1.tsv.gz	2	159366884	1.3725697238729618e-74	trans	EUR/2/158301473-159697979	ITGB6
qtl-subset-ukb-ppp-european-ITGB6:P18564:OID20493:v1	qtl-subset-ukb-ppp-european-ITGB6:P18564:OID20493:v1_EUR_2_159581055_4	/local-scratch/projects/genotype-phenotype-map/test/data/study/qtl-subset-ukb-ppp-european-ITGB6:P18564:OID20493:v1/finemapped/EUR_2_159581055_4.tsv.gz	2	159552945	8.684244648462766e-12	trans	EUR/2/158301473-159697979	ITGB6
qtl-subset-ukb-ppp-european-ITGB6:P18564:OID20493:v1	qtl-subset-ukb-ppp-european-ITGB6:P18564:OID20493:v1_EUR_2_160121432_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/qtl-subset-ukb-ppp-european-ITGB6:P18564:OID20493:v1/finemapped/EUR_2_160121432_1.tsv.gz	2	160121432	3.8868899999999997e-302	cis	EUR/2/159697979-163746622	ITGB6
qtl-subset-ukb-ppp-european-ITGB7:P26010:OID21393:v1	qtl-subset-ukb-ppp-european-ITGB7:P26010:OID21393:v1_EUR_2_181513046_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/qtl-subset-ukb-ppp-european-ITGB7:P26010:OID21393:v1/finemapped/EUR_2_181513046_1.tsv.gz	2	181499946	6.781461523448807e-13	trans	EUR/2/181043711-185382375	ITGB7
qtl-subset-ukb-ppp-european-ITGB5:P18084:OID21522:v1	qtl-subset-ukb-ppp-european-ITGB5:P18084:OID21522:v1_EUR_2_186633380_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/qtl-subset-ukb-ppp-european-ITGB5:P18084:OID21522:v1/finemapped/EUR_2_186724153_1.tsv.gz	2	186633380	7.61729e-14	trans	EUR/2/186097359-192116616	ITGB5
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_2_203719733_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_2_203719733_1.tsv.gz	2	203717900	6.761325537528135e-21	NA	EUR/2/201042910-204200436	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_2_212959321_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_2_212959321_1.tsv.gz	2	212952495	5.566701514234238e-119	NA	EUR/2/212714100-216006086	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_2_212959321_4	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_2_212959321_4.tsv.gz	2	213031014	1.1767743187675922e-31	NA	EUR/2/212714100-216006086	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_2_233206983_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_2_233206983_1.tsv.gz	2	233206983	3.66878919582566e-27	NA	EUR/2/230980237-233975710	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_2_241759225_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_2_241759225_1.tsv.gz	2	241759225	5.6029541679920195e-86	NA	EUR/2/240576179-242171545	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_2_241759225_2	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_2_241759225_2.tsv.gz	2	241403989	7.193533903230821e-33	NA	EUR/2/240576179-242171545	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_3_3111246_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_3_3111246_1.tsv.gz	3	3111655	6.055625985557747e-67	NA	EUR/3/2102384-3273572	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_3_3111246_5	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_3_3111246_5.tsv.gz	3	3110885	1.6370188883817094e-21	NA	EUR/3/2102384-3273572	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_3_10186296_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_3_10187476_1.tsv.gz	3	10186296	8.999119108700523e-26	NA	EUR/3/9153647-10633999	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_3_12293492_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_3_12293492_1.tsv.gz	3	12293492	2.412599810139553e-25	NA	EUR/3/10633999-13113221	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_3_16869827_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_3_16869827_1.tsv.gz	3	16866675	3.4225322967250145e-27	NA	EUR/3/16623951-18889489	NA
ebi-a-GCST90018949	ebi-a-GCST90018949_EUR_3_25048986_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90018949/finemapped/EUR_3_25068924_1.tsv.gz	3	25048986	1.2779092095662892e-23	NA	EUR/3/25035189-26862062	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_3_27716783_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_3_27730523_1.tsv.gz	3	27716783	1.5000301904559538e-22	NA	EUR/3/26862062-31229789	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_3_33004988_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_3_33004988_1.tsv.gz	3	33004988	1.2080101271881007e-33	NA	EUR/3/31229789-33214100	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_3_42864624_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_3_42864624_1.tsv.gz	3	42864624	1.2464685457565506e-31	NA	EUR/3/42376395-45779015	NA
qtl-subset-ukb-ppp-european-ITGB2:P05107:OID20315:v1	qtl-subset-ukb-ppp-european-ITGB2:P05107:OID20315:v1_EUR_3_46941247_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/qtl-subset-ukb-ppp-european-ITGB2:P05107:OID20315:v1/finemapped/EUR_3_47079150_1.tsv.gz	3	46941247	5.696409999999999e-12	trans	EUR/3/45779015-47151274	ITGB2
ebi-a-GCST90018949	ebi-a-GCST90018949_EUR_3_49892782_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90018949/finemapped/EUR_3_49892782_1.tsv.gz	3	49892782	2.8379190284415526e-32	NA	EUR/3/47151274-52179438	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_3_50734193_2	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_3_50734193_2.tsv.gz	3	50734193	2.845855955238673e-26	NA	EUR/3/47151274-52179438	NA
qtl-subset-ukb-ppp-european-ITGB5:P18084:OID21522:v1	qtl-subset-ukb-ppp-european-ITGB5:P18084:OID21522:v1_EUR_3_56815721_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/qtl-subset-ukb-ppp-european-ITGB5:P18084:OID21522:v1/finemapped/EUR_3_56815721_1.tsv.gz	3	56815721	3.6467000000000003e-25	trans	EUR/3/55837505-59424339	ITGB5
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_3_112334080_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_3_112334080_1.tsv.gz	3	112334080	2.5351833515505645e-43	NA	EUR/3/110575780-113222710	NA
qtl-subset-ukb-ppp-european-ITGB5:P18084:OID21522:v1	qtl-subset-ukb-ppp-european-ITGB5:P18084:OID21522:v1_EUR_3_124807869_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/qtl-subset-ukb-ppp-european-ITGB5:P18084:OID21522:v1/finemapped/EUR_3_124807869_1.tsv.gz	3	124727230	7.114220139494626e-22	cis	EUR/3/123803758-127360326	ITGB5
qtl-subset-ukb-ppp-european-ITGB5:P18084:OID21522:v1	qtl-subset-ukb-ppp-european-ITGB5:P18084:OID21522:v1_EUR_3_124807869_2	/local-scratch/projects/genotype-phenotype-map/test/data/study/qtl-subset-ukb-ppp-european-ITGB5:P18084:OID21522:v1/finemapped/EUR_3_124807869_2.tsv.gz	3	124782735	6.152733435885868e-28	cis	EUR/3/123803758-127360326	ITGB5
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_3_128587914_2	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_3_128587914_2.tsv.gz	3	128592224	6.089122069474578e-91	NA	EUR/3/127360326-129368353	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_3_128587914_3	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_3_128587914_3.tsv.gz	3	128596882	0	NA	EUR/3/127360326-129368353	NA
ebi-a-GCST90018949	ebi-a-GCST90018949_EUR_3_141386728_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90018949/finemapped/EUR_3_141386728_1.tsv.gz	3	141386728	2.0398583002685765e-91	NA	EUR/3/141292082-143776993	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_3_169759718_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_3_169775495_1.tsv.gz	3	169759718	9.700631337839542e-23	NA	EUR/3/167399986-171052587	NA
qtl-subset-ukb-ppp-european-ITGB7:P26010:OID21393:v1	qtl-subset-ukb-ppp-european-ITGB7:P26010:OID21393:v1_EUR_3_170006440_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/qtl-subset-ukb-ppp-european-ITGB7:P26010:OID21393:v1/finemapped/EUR_3_170006440_1.tsv.gz	3	170027739	3.1997518744780253e-25	trans	EUR/3/167399986-171052587	ITGB7
qtl-subset-ukb-ppp-european-ITGB7:P26010:OID21393:v1	qtl-subset-ukb-ppp-european-ITGB7:P26010:OID21393:v1_EUR_3_170006440_2	/local-scratch/projects/genotype-phenotype-map/test/data/study/qtl-subset-ukb-ppp-european-ITGB7:P26010:OID21393:v1/finemapped/EUR_3_170006440_2.tsv.gz	3	170006139	1.5004041287716053e-35	trans	EUR/3/167399986-171052587	ITGB7
qtl-subset-ukb-ppp-european-ITGB7:P26010:OID21393:v1	qtl-subset-ukb-ppp-european-ITGB7:P26010:OID21393:v1_EUR_3_186909819_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/qtl-subset-ukb-ppp-european-ITGB7:P26010:OID21393:v1/finemapped/EUR_3_186909819_1.tsv.gz	3	186909667	2.6771345507982206e-54	trans	EUR/3/186204235-188486544	ITGB7
qtl-subset-ukb-ppp-european-ITGB7:P26010:OID21393:v1	qtl-subset-ukb-ppp-european-ITGB7:P26010:OID21393:v1_EUR_3_186909819_2	/local-scratch/projects/genotype-phenotype-map/test/data/study/qtl-subset-ukb-ppp-european-ITGB7:P26010:OID21393:v1/finemapped/EUR_3_186909819_2.tsv.gz	3	186929991	1.192312489736732e-26	trans	EUR/3/186204235-188486544	ITGB7
qtl-subset-ukb-ppp-european-ITGB7:P26010:OID21393:v1	qtl-subset-ukb-ppp-european-ITGB7:P26010:OID21393:v1_EUR_3_186909819_4	/local-scratch/projects/genotype-phenotype-map/test/data/study/qtl-subset-ukb-ppp-european-ITGB7:P26010:OID21393:v1/finemapped/EUR_3_186909819_4.tsv.gz	3	186931117	3.738291929259953e-16	trans	EUR/3/186204235-188486544	ITGB7
qtl-subset-ukb-ppp-european-ITGB7:P26010:OID21393:v1	qtl-subset-ukb-ppp-european-ITGB7:P26010:OID21393:v1_EUR_3_186909819_5	/local-scratch/projects/genotype-phenotype-map/test/data/study/qtl-subset-ukb-ppp-european-ITGB7:P26010:OID21393:v1/finemapped/EUR_3_186909819_5.tsv.gz	3	187013369	4.946495607836782e-25	trans	EUR/3/186204235-188486544	ITGB7
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_3_188723373_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_3_188723373_1.tsv.gz	3	188723373	4.60044666393475e-33	NA	EUR/3/188486544-189336989	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_3_196641065_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_3_196641320_1.tsv.gz	3	196641065	2.8002705950106266e-21	NA	EUR/3/195494690-196653736	NA
ebi-a-GCST90018949	ebi-a-GCST90018949_EUR_4_17954590_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90018949/finemapped/EUR_4_17954590_1.tsv.gz	4	17954590	2.95188884594462e-42	NA	EUR/4/17239519-18840251	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_4_38662242_2	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_4_38662242_2.tsv.gz	4	38654151	1.190987035114646e-141	NA	EUR/4/37897029-40870713	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_4_38662242_3	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_4_38662242_3.tsv.gz	4	39024224	1.5147551839772526e-22	NA	EUR/4/37897029-40870713	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_4_38662242_4	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_4_38662242_4.tsv.gz	4	38650155	1.8492167136561712e-24	NA	EUR/4/37897029-40870713	NA
ebi-a-GCST90018949	ebi-a-GCST90018949_EUR_4_45184122_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90018949/finemapped/EUR_4_45184122_1.tsv.gz	4	45163633	3.153707178502243e-56	NA	EUR/4/44607167-49151183	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_4_82624823_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_4_82624823_1.tsv.gz	4	82624823	4.308170744480269e-78	NA	EUR/4/79025373-82753883	NA
qtl-subset-ukb-ppp-european-ITGB7:P26010:OID21393:v1	qtl-subset-ukb-ppp-european-ITGB7:P26010:OID21393:v1_EUR_4_99163742_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/qtl-subset-ukb-ppp-european-ITGB7:P26010:OID21393:v1/finemapped/EUR_4_99163742_1.tsv.gz	4	99163742	7.33332e-11	trans	EUR/4/98498893-100212545	ITGB7
qtl-subset-ukb-ppp-european-ITGB6:P18564:OID20493:v1	qtl-subset-ukb-ppp-european-ITGB6:P18564:OID20493:v1_EUR_4_102267552_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/qtl-subset-ukb-ppp-european-ITGB6:P18564:OID20493:v1/finemapped/EUR_4_102267552_1.tsv.gz	4	102267552	5.98131e-24	trans	EUR/4/100212545-102467462	ITGB6
qtl-subset-ukb-ppp-european-ITGB6:P18564:OID20493:v1	qtl-subset-ukb-ppp-european-ITGB6:P18564:OID20493:v1_EUR_4_109426136_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/qtl-subset-ukb-ppp-european-ITGB6:P18564:OID20493:v1/finemapped/EUR_4_109443812_1.tsv.gz	4	109426136	3.4580080664306786e-16	trans	EUR/4/107205822-110141227	ITGB6
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_4_122639784_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_4_122639784_1.tsv.gz	4	122639784	2.3999378768098718e-26	NA	EUR/4/122448621-124296170	NA
