study	unique_study_id	file	chr	bp	min_p	cis_trans	ld_region	known_gene	suspected_gene
ebi-a-GCST90028995	ebi-a-GCST90028995_EUR_1_2996602_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028995/finemapped/EUR_1_2996602_1.tsv.gz	1	2996602	2.0999067037624367e-35	NA	EUR/1/1892607_3582735	NA	PRDM16
ebi-a-GCST90002334	ebi-a-GCST90002334_EUR_1_3728061_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90002334/finemapped/EUR_1_3728061_1.tsv.gz	1	3728061	7.970764905902945e-31	NA	EUR/1/3582736_4380810	NA	NA
ebi-a-GCST90018958	ebi-a-GCST90018958_EUR_1_3691528_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90018958/finemapped/EUR_1_3691528_1.tsv.gz	1	3691528	1.5100801541641556e-52	NA	EUR/1/3582736_4380810	NA	SMIM1
ebi-a-GCST90025971	ebi-a-GCST90025971_EUR_1_3711689_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90025971/finemapped/EUR_1_3711689_1.tsv.gz	1	3711689	1.1000185275062197e-30	NA	EUR/1/3582736_4380810	NA	LRRC47
ebi-a-GCST90018958	ebi-a-GCST90018958_EUR_1_6652745_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90018958/finemapped/EUR_1_6652745_1.tsv.gz	1	6652745	1.998020776765864e-15	NA	EUR/1/5913893_7247334	NA	KLHL21
ebi-a-GCST90014002	ebi-a-GCST90014002_EUR_1_8486131_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90014002/finemapped/EUR_1_8486131_1.tsv.gz	1	8486131	2.338460293015157e-9	NA	EUR/1/7247335_9365198	NA	RERE
ebi-a-GCST90025971	ebi-a-GCST90025971_EUR_1_8918313_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90025971/finemapped/EUR_1_8918313_1.tsv.gz	1	8918313	2.0000000199681083e-9	NA	EUR/1/7247335_9365198	NA	NA
ebi-a-GCST90002304	ebi-a-GCST90002304_EUR_1_10735079_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90002304/finemapped/EUR_1_10735079_1.tsv.gz	1	10735079	2.450191336880788e-15	NA	EUR/1/9365199_10806983	NA	CASZ1
ebi-a-GCST90014002	ebi-a-GCST90014002_EUR_1_10497911_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90014002/finemapped/EUR_1_10497911_1.tsv.gz	1	10497911	3.3865695566870204e-9	NA	EUR/1/9365199_10806983	NA	CENPS-CORT
ebi-a-GCST90018795	ebi-a-GCST90018795_EUR_1_10633245_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90018795/finemapped/EUR_1_10633245_1.tsv.gz	1	10633245	2.063003667310711e-9	NA	EUR/1/9365199_10806983	NA	PEX14
ebi-a-GCST90000059	ebi-a-GCST90000059_EUR_1_11862778_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90000059/finemapped/EUR_1_11862778_1.tsv.gz	1	11862778	9.560926950198275e-99	NA	EUR/1/11777841_12779465	NA	MTHFR
ebi-a-GCST90002304	ebi-a-GCST90002304_EUR_1_12661179_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90002304/finemapped/EUR_1_12661179_1.tsv.gz	1	12661179	1.7298163592150998e-15	NA	EUR/1/11777841_12779465	NA	DHRS3
ebi-a-GCST90002334	ebi-a-GCST90002334_EUR_1_11889815_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90002334/finemapped/EUR_1_11889815_1.tsv.gz	1	11889815	3.6299446258272516e-24	NA	EUR/1/11777841_12779465	NA	CLCN6
ebi-a-GCST90013979	ebi-a-GCST90013979_EUR_1_11904076_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90013979/finemapped/EUR_1_11904076_1.tsv.gz	1	11904076	5.771650171902295e-23	NA	EUR/1/11777841_12779465	NA	NPPA-AS1
ebi-a-GCST90028995	ebi-a-GCST90028995_EUR_1_11858957_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028995/finemapped/EUR_1_11858957_1.tsv.gz	1	11858957	2.1998851090492558e-27	NA	EUR/1/11777841_12779465	NA	MTHFR
ebi-a-GCST90028995	ebi-a-GCST90028995_EUR_1_11950391_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028995/finemapped/EUR_1_11950391_1.tsv.gz	1	11950391	2.1998851090492558e-27	NA	EUR/1/11777841_12779465	NA	NA
qtl-GTEx-eQTL-cis-Adipose-subcutaneous-ENSG00000011021	qtl-GTEx-eQTL-cis-Adipose-subcutaneous-ENSG00000011021_EUR_1_11865236_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/qtl-GTEx-eQTL-cis-Adipose-subcutaneous-ENSG00000011021/finemapped/EUR_1_11865236_1.tsv.gz	1	11865236	1.25162e-15	cis	EUR/1/11777841_12779465	CLCN6	MTHFR
qtl-GTEx-eQTL-cis-Artery-Aorta-ENSG00000011021	qtl-GTEx-eQTL-cis-Artery-Aorta-ENSG00000011021_EUR_1_11866451_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/qtl-GTEx-eQTL-cis-Artery-Aorta-ENSG00000011021/finemapped/EUR_1_11866451_1.tsv.gz	1	11866451	6.61122e-9	cis	EUR/1/11777841_12779465	CLCN6	CLCN6
qtl-GTEx-sQTL-cis-Cells-Cultured-fibroblasts-chr1:11827221:11828106:clu-42109:ENSG00000011021-21	qtl-GTEx-sQTL-cis-Cells-Cultured-fibroblasts-chr1:11827221:11828106:clu-42109:ENSG00000011021-21_EUR_1_11865236_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/qtl-GTEx-sQTL-cis-Cells-Cultured-fibroblasts-chr1:11827221:11828106:clu-42109:ENSG00000011021-21/finemapped/EUR_1_11865236_1.tsv.gz	1	11865236	4.68306e-16	cis	EUR/1/11777841_12779465	CLCN6	MTHFR
ebi-a-GCST90000059	ebi-a-GCST90000059_EUR_1_16259813_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90000059/finemapped/EUR_1_16259813_1.tsv.gz	1	16259813	1.6593387110553105e-251	NA	EUR/1/14891511_16897729	NA	SPEN
ebi-a-GCST90000059	ebi-a-GCST90000059_EUR_1_16259813_2	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90000059/finemapped/EUR_1_16259813_2.tsv.gz	1	16299312	7.242498926291245e-256	NA	EUR/1/14891511_16897729	NA	ZBTB17
ebi-a-GCST90000059	ebi-a-GCST90000059_EUR_1_16259813_3	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90000059/finemapped/EUR_1_16259813_3.tsv.gz	1	16255644	4.5254659306180125e-257	NA	EUR/1/14891511_16897729	NA	SPEN
ebi-a-GCST90000059	ebi-a-GCST90000059_EUR_1_16259813_4	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90000059/finemapped/EUR_1_16259813_4.tsv.gz	1	16356522	2.8528807052809637e-99	NA	EUR/1/14891511_16897729	NA	CLCNKA
ebi-a-GCST90000059	ebi-a-GCST90000059_EUR_1_16259813_5	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90000059/finemapped/EUR_1_16259813_5.tsv.gz	1	15909744	1.2847298323743166e-78	NA	EUR/1/14891511_16897729	NA	DNAJC16
ebi-a-GCST90000059	ebi-a-GCST90000059_EUR_1_16259813_6	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90000059/finemapped/EUR_1_16259813_6.tsv.gz	1	16042766	7.287105925970348e-99	NA	EUR/1/14891511_16897729	NA	PLEKHM2
ebi-a-GCST90000059	ebi-a-GCST90000059_EUR_1_16259813_7	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90000059/finemapped/EUR_1_16259813_7.tsv.gz	1	16349137	3.757899856353518e-44	NA	EUR/1/14891511_16897729	NA	CLCNKA
ebi-a-GCST90000059	ebi-a-GCST90000059_EUR_1_16259813_8	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90000059/finemapped/EUR_1_16259813_8.tsv.gz	1	16371067	2.0130059376831665e-35	NA	EUR/1/14891511_16897729	NA	CLCNKB
ebi-a-GCST90002304	ebi-a-GCST90002304_EUR_1_16368977_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90002304/finemapped/EUR_1_16368977_1.tsv.gz	1	16368977	1.299870237388607e-29	NA	EUR/1/14891511_16897729	NA	CLCNKB
ebi-a-GCST90002304	ebi-a-GCST90002304_EUR_1_17327429_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90002304/finemapped/EUR_1_17327429_1.tsv.gz	1	17327429	1.8201199084601018e-15	NA	EUR/1/16897730_18662898	NA	ATP13A2
ebi-a-GCST90002334	ebi-a-GCST90002334_EUR_1_21001669_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90002334/finemapped/EUR_1_21001669_1.tsv.gz	1	21001669	4.719543572446077e-33	NA	EUR/1/20469149_21736587	NA	KIF17
ebi-a-GCST90013979	ebi-a-GCST90013979_EUR_1_20909688_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90013979/finemapped/EUR_1_20909688_1.tsv.gz	1	20909688	1.248532926159492e-23	NA	EUR/1/20469149_21736587	NA	NA
ebi-a-GCST90014002	ebi-a-GCST90014002_EUR_1_21351247_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90014002/finemapped/EUR_1_21351247_1.tsv.gz	1	21351247	1.6263724165065051e-9	NA	EUR/1/20469149_21736587	NA	EIF4G3
ebi-a-GCST90014002	ebi-a-GCST90014002_EUR_1_21820042_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90014002/finemapped/EUR_1_21820042_1.tsv.gz	1	21820042	1.1334438229710324e-15	NA	EUR/1/21736588_23086882	NA	NA
ebi-a-GCST90014002	ebi-a-GCST90014002_EUR_1_22698447_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90014002/finemapped/EUR_1_22698447_1.tsv.gz	1	22698447	1.1334438229710324e-15	NA	EUR/1/21736588_23086882	NA	NA
ebi-a-GCST90025971	ebi-a-GCST90025971_EUR_1_22013771_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90025971/finemapped/EUR_1_22013771_1.tsv.gz	1	22013771	2.3988329190194642e-166	NA	EUR/1/21736588_23086882	NA	USP48
ebi-a-GCST90025971	ebi-a-GCST90025971_EUR_1_22138467_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90025971/finemapped/EUR_1_22138467_1.tsv.gz	1	22138467	2.3988329190194642e-166	NA	EUR/1/21736588_23086882	NA	NA
ebi-a-GCST90002334	ebi-a-GCST90002334_EUR_1_23821280_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90002334/finemapped/EUR_1_23821280_1.tsv.gz	1	23821280	5.579560614821776e-71	NA	EUR/1/23086883_23920589	NA	NA
ebi-a-GCST90013979	ebi-a-GCST90013979_EUR_1_23840570_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90013979/finemapped/EUR_1_23840570_1.tsv.gz	1	23840570	1.9797028121790726e-53	NA	EUR/1/23086883_23920589	NA	E2F2
ebi-a-GCST90028995	ebi-a-GCST90028995_EUR_1_23840570_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028995/finemapped/EUR_1_23840570_1.tsv.gz	1	23840570	1.3999096265683331e-58	NA	EUR/1/23086883_23920589	NA	E2F2
ebi-a-GCST90000059	ebi-a-GCST90000059_EUR_1_25044111_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90000059/finemapped/EUR_1_25044111_1.tsv.gz	1	25044111	4.439151837895526e-23	NA	EUR/1/23920590_25516844	NA	NA
ebi-a-GCST90002304	ebi-a-GCST90002304_EUR_1_25044111_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90002304/finemapped/EUR_1_25044111_1.tsv.gz	1	25044111	8.699614330652691e-13	NA	EUR/1/23920590_25516844	NA	NA
ebi-a-GCST90025971	ebi-a-GCST90025971_EUR_1_24022437_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90025971/finemapped/EUR_1_24022437_1.tsv.gz	1	24022437	4.499870338721487e-22	NA	EUR/1/23920590_25516844	NA	RPL11
ebi-a-GCST90028995	ebi-a-GCST90028995_EUR_1_24206032_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028995/finemapped/EUR_1_24206032_1.tsv.gz	1	24206032	1.1000185275062196e-14	NA	EUR/1/23920590_25516844	NA	CNR2
ebi-a-GCST90000059	ebi-a-GCST90000059_EUR_1_27138393_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90000059/finemapped/EUR_1_27138393_1.tsv.gz	1	27138393	1.5329923936782524e-8	NA	EUR/1/25516845_27401866	NA	NA
ebi-a-GCST90002304	ebi-a-GCST90002304_EUR_1_26146514_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90002304/finemapped/EUR_1_26146514_1.tsv.gz	1	26146514	8.279421637123328e-12	NA	EUR/1/25516845_27401866	NA	MTFR1L
ebi-a-GCST90002334	ebi-a-GCST90002334_EUR_1_25561667_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90002334/finemapped/EUR_1_25561667_1.tsv.gz	1	25561667	1.0399201658290495e-85	NA	EUR/1/25516845_27401866	NA	NA
ebi-a-GCST90002334	ebi-a-GCST90002334_EUR_1_25622199_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90002334/finemapped/EUR_1_25622199_1.tsv.gz	1	25622199	1.0399201658290495e-85	NA	EUR/1/25516845_27401866	NA	RSRP1
ebi-a-GCST90002334	ebi-a-GCST90002334_EUR_1_26767367_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90002334/finemapped/EUR_1_26767367_1.tsv.gz	1	26767367	1.0399201658290495e-85	NA	EUR/1/25516845_27401866	NA	DHDDS
ebi-a-GCST90013979	ebi-a-GCST90013979_EUR_1_25622199_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90013979/finemapped/EUR_1_25622199_1.tsv.gz	1	25622199	3.8503481467861784e-57	NA	EUR/1/25516845_27401866	NA	RSRP1
ebi-a-GCST90013979	ebi-a-GCST90013979_EUR_1_26750983_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90013979/finemapped/EUR_1_26750983_1.tsv.gz	1	26750983	3.8503481467861784e-57	NA	EUR/1/25516845_27401866	NA	LIN28A
ebi-a-GCST90014002	ebi-a-GCST90014002_EUR_1_27180088_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90014002/finemapped/EUR_1_27180088_1.tsv.gz	1	27180088	1.3443117666713137e-37	NA	EUR/1/25516845_27401866	NA	ZDHHC18
ebi-a-GCST90018958	ebi-a-GCST90018958_EUR_1_25577496_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90018958/finemapped/EUR_1_25577496_1.tsv.gz	1	25577496	1.0779534330711084e-30	NA	EUR/1/25516845_27401866	NA	RSRP1
ebi-a-GCST90018958	ebi-a-GCST90018958_EUR_1_25675530_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90018958/finemapped/EUR_1_25675530_1.tsv.gz	1	25675530	1.0779534330711084e-30	NA	EUR/1/25516845_27401866	NA	TMEM50A
ebi-a-GCST90018958	ebi-a-GCST90018958_EUR_1_26875433_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90018958/finemapped/EUR_1_26875433_1.tsv.gz	1	26875433	1.0779534330711084e-30	NA	EUR/1/25516845_27401866	NA	RPS6KA1
ebi-a-GCST90025971	ebi-a-GCST90025971_EUR_1_25611035_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90025971/finemapped/EUR_1_25611035_1.tsv.gz	1	25611035	1.2000518202042658e-61	NA	EUR/1/25516845_27401866	NA	RSRP1
ebi-a-GCST90028995	ebi-a-GCST90028995_EUR_1_25527587_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028995/finemapped/EUR_1_25527587_1.tsv.gz	1	25527587	9.999999999999999e-31	NA	EUR/1/25516845_27401866	NA	NA
ebi-a-GCST90028995	ebi-a-GCST90028995_EUR_1_26871200_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028995/finemapped/EUR_1_26871200_1.tsv.gz	1	26871200	9.999999999999999e-31	NA	EUR/1/25516845_27401866	NA	RPS6KA1
ebi-a-GCST90002304	ebi-a-GCST90002304_EUR_1_28564279_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90002304/finemapped/EUR_1_28564279_1.tsv.gz	1	28564279	8.230003122773447e-13	NA	EUR/1/27401867_30161880	NA	ATP5IF1
ebi-a-GCST90002304	ebi-a-GCST90002304_EUR_1_29486128_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90002304/finemapped/EUR_1_29486128_1.tsv.gz	1	29486128	8.230003122773447e-13	NA	EUR/1/27401867_30161880	NA	SRSF4
ebi-a-GCST90018958	ebi-a-GCST90018958_EUR_1_29176897_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90018958/finemapped/EUR_1_29176897_1.tsv.gz	1	29176897	2.897010037894645e-9	NA	EUR/1/27401867_30161880	NA	OPRD1
ebi-a-GCST90002334	ebi-a-GCST90002334_EUR_1_37939173_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90002334/finemapped/EUR_1_37939173_1.tsv.gz	1	37939173	6.889695054811374e-34	NA	EUR/1/37549183_38731846	NA	ZC3H12A-DT
ebi-a-GCST90013979	ebi-a-GCST90013979_EUR_1_37918485_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90013979/finemapped/EUR_1_37918485_1.tsv.gz	1	37918485	1.7230584105672018e-22	NA	EUR/1/37549183_38731846	NA	NA
ebi-a-GCST90028995	ebi-a-GCST90028995_EUR_1_37939173_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028995/finemapped/EUR_1_37939173_1.tsv.gz	1	37939173	1.6998085132034947e-27	NA	EUR/1/37549183_38731846	NA	ZC3H12A-DT
ebi-a-GCST90002304	ebi-a-GCST90002304_EUR_1_39382277_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90002304/finemapped/EUR_1_39382277_1.tsv.gz	1	39382277	3.789657837994712e-11	NA	EUR/1/38731847_40200566	NA	RHBDL2
ebi-a-GCST90002334	ebi-a-GCST90002334_EUR_1_40035928_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90002334/finemapped/EUR_1_40035928_1.tsv.gz	1	40035928	8.609937521846049e-34	NA	EUR/1/38731847_40200566	NA	PABPC4
ebi-a-GCST90013979	ebi-a-GCST90013979_EUR_1_40003410_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90013979/finemapped/EUR_1_40003410_1.tsv.gz	1	40003410	3.807150103801778e-27	NA	EUR/1/38731847_40200566	NA	PPIEL
ebi-a-GCST90014002	ebi-a-GCST90014002_EUR_1_40035928_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90014002/finemapped/EUR_1_40035928_1.tsv.gz	1	40035928	1.911613108739969e-35	NA	EUR/1/38731847_40200566	NA	PABPC4
ebi-a-GCST90018958	ebi-a-GCST90018958_EUR_1_40052108_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90018958/finemapped/EUR_1_40052108_1.tsv.gz	1	40052108	1.1230523475410827e-18	NA	EUR/1/38731847_40200566	NA	NA
ebi-a-GCST90028995	ebi-a-GCST90028995_EUR_1_40035928_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028995/finemapped/EUR_1_40035928_1.tsv.gz	1	40035928	8.499629594496219e-51	NA	EUR/1/38731847_40200566	NA	PABPC4
ebi-a-GCST90000059	ebi-a-GCST90000059_EUR_1_41486245_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90000059/finemapped/EUR_1_41486245_1.tsv.gz	1	41745770	1.3603726698603347e-76	NA	EUR/1/40200567_41975326	NA	NA
ebi-a-GCST90000059	ebi-a-GCST90000059_EUR_1_41486245_2	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90000059/finemapped/EUR_1_41486245_2.tsv.gz	1	41485902	5.307653151195545e-115	NA	EUR/1/40200567_41975326	NA	SLFNL1-AS1
ebi-a-GCST90000059	ebi-a-GCST90000059_EUR_1_41486245_3	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90000059/finemapped/EUR_1_41486245_3.tsv.gz	1	41486245	5.723863608164046e-75	NA	EUR/1/40200567_41975326	NA	SLFNL1-AS1
ebi-a-GCST90000059	ebi-a-GCST90000059_EUR_1_41486245_4	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90000059/finemapped/EUR_1_41486245_4.tsv.gz	1	41482976	1.099314334931998e-11	NA	EUR/1/40200567_41975326	NA	SLFNL1-AS1
ebi-a-GCST90002304	ebi-a-GCST90002304_EUR_1_40316155_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90002304/finemapped/EUR_1_40316155_1.tsv.gz	1	40316155	3.160093990447955e-16	NA	EUR/1/40200567_41975326	NA	TRIT1
ebi-a-GCST90025971	ebi-a-GCST90025971_EUR_1_43311563_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90025971/finemapped/EUR_1_43311563_1.tsv.gz	1	43311563	6.599940191598727e-9	NA	EUR/1/41975327_43758456	NA	NA
ebi-a-GCST90000059	ebi-a-GCST90000059_EUR_1_43886494_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90000059/finemapped/EUR_1_43886494_1.tsv.gz	1	43886494	1.0765474279532644e-35	NA	EUR/1/43758457_44969182	NA	SZT2
ebi-a-GCST90000059	ebi-a-GCST90000059_EUR_1_43886494_2	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90000059/finemapped/EUR_1_43886494_2.tsv.gz	1	43919413	1.1831768223827042e-131	NA	EUR/1/43758457_44969182	NA	SZT2
ebi-a-GCST90000059	ebi-a-GCST90000059_EUR_1_43886494_3	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90000059/finemapped/EUR_1_43886494_3.tsv.gz	1	44054994	6.273604367082044e-65	NA	EUR/1/43758457_44969182	NA	PTPRF
ebi-a-GCST90000059	ebi-a-GCST90000059_EUR_1_43886494_4	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90000059/finemapped/EUR_1_43886494_4.tsv.gz	1	44137257	1.302227646758398e-37	NA	EUR/1/43758457_44969182	NA	KDM4A
ebi-a-GCST90000059	ebi-a-GCST90000059_EUR_1_43886494_5	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90000059/finemapped/EUR_1_43886494_5.tsv.gz	1	43805240	3.630975449380082e-25	NA	EUR/1/43758457_44969182	NA	MPL
ebi-a-GCST90002304	ebi-a-GCST90002304_EUR_1_43759733_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90002304/finemapped/EUR_1_43759733_1.tsv.gz	1	43759733	3.760105236684948e-17	NA	EUR/1/43758457_44969182	NA	NA
ebi-a-GCST90002334	ebi-a-GCST90002334_EUR_1_44488466_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90002334/finemapped/EUR_1_44488466_1.tsv.gz	1	44488466	1.6199439939036235e-24	NA	EUR/1/43758457_44969182	NA	SLC6A9
ebi-a-GCST90013979	ebi-a-GCST90013979_EUR_1_44488466_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90013979/finemapped/EUR_1_44488466_1.tsv.gz	1	44488466	3.050703497822522e-13	NA	EUR/1/43758457_44969182	NA	SLC6A9
